Ref;Nombre;instalaciones;Dirección;Municipio;Código Municipio;Provincia;Código Provincia;Teléfono
0001;Bolatokia;;Ranzari;Santurtzi;082;Bizkaia;48;
0002;POLIDEPORTIVO MIKEL TRUEBA-EL PUERTO;Sala equipada 1#Sala especializada 1#Sala especializada 2#Sala equipada 2#Sala equipada 3#Pista polideportiva#Pista de squash 1#Pista de squash 2#Pista de padel 1#Pista de padel 2#Pista de padel 3#Pista de padel 4#Pista de tenis 1#Pista de tenis 2#Pista de tenis 3#Pista de fútbol sala#Pista de atletismo#Zona de saltos 1#Recta de saltos#Sala de tiro con arco#Vaso recreativo 1#Vaso de chapoteo#Vaso recreativo 2#Vaso de enseñanza#Vaso deportivo#Vaso de hidromasaje 1#Vaso de hidromasaje 2#Gimnasio de Calistenia;Paseo Reina Victoria S/N ;Santurtzi;082;Bizkaia;48;34944836625
0003;POLIDEPORTIVO ARTUNDUAGA;Frontón 1#Frontón 2#Frontón 3#Pista de tenis 1#Pista polideportiva 1#Pista polideportiva 2#Rocodromo 1#Rocodromo 2#Pista de tenis 2#Pista de tenis 3#Pista de tenis 4#Pista de padel 1#Pista de padel 2#Pista de padel 3#Sala de aerobic#Sala de yoga#Vaso deportivo 1#Vaso deportivo 2#Vaso recreativo 1#Vaso de chapoteo 1#Sala de spinning#Sala de musculación#Vaso recreativo 2#Vaso de chapoteo 2#Pista de atletismo 1#Pista de atletismo 2#Pista de atletismo 3#Campo de futbol 1#Campo de futbol 2#Pista de padel cubierta 1#Pista de padel cubierta 2#Pista de padel cubierta 3#Pista de padel cubierta 4#Sala de Halterofilia#Sala Pilates;Artunduaga auzoa S/N ;Basauri;015;Bizkaia;48;34944666383
0004;GIMNASIO DOJO;Tatami;ESKOIKIZ KALEA S/N ;Bermeo;017;Bizkaia;48;34946186671
0005;PISTA DE FÚTBOL DE ZUBILLAGA;Pista de fútbol;C/ DE LAS ESCUELAS S/N ;Lantarón;902;Araba/Álava;01;34945332024
0006;GIMNASIO ELEXALDE;Sala spining#Sala cardiovascular#Sala musculación;Calle Etxeburu 4 ;Galdakao;036;Bizkaia;48;34944566696
0007;RUTA BTT 15 GR-38(B);Ruta en bicicleta;CAMPO DE GOLF DE URTURI S/N ;Bernedo;016;Araba/Álava;01;34945378262
0008;I.E.S. IGNACIO AROZENA-BENITO BARRUETA;Pista polideportiva 1#Pista polideportiva 2#Pista polideportiva 3#Gimnasio;MATXITXAKO BIDEA S/N ;Bermeo;017;Bizkaia;48;34946186740
0009;RUTA BTT 07 ARRIEROS;Ruta en bicicleta;CAMPO DE GOLF DE URTURI S/N ;Bernedo;016;Araba/Álava;01;34945378262
0010;RUTA DESDE LO MAS ALTO;Sendero;Carretera Gallarta s/n ;Valle de Trápaga-Trapagaran;080;Bizkaia;48;34944922863
0011;RUTA BTT 03 SANTA LUZIA;Ruta en bicicleta;ANTOÑANA S/N  ;Campezo/Kanpezu;017;Araba/Álava;01;34945405424
0012;PISTA POLIDEPORTIVA MUNICIPAL;;MATXITXAKO BIDEA S/N ;Bermeo;017;Bizkaia;48;34946882312
0013;CENTRO SUBACUÁTICO TXOF;Urpeko zentroa;NARDIZTAR BENANTZIO 1 ;Bermeo;017;Bizkaia;48;34944277759
0014;SL SENDA ULLIBARRI;Senda local;C/ DE SAN ESTEBAN S/N ;Arraia-Maeztu;037;Araba/Álava;01;34945410502
0015;CEIP VISTA ALEGRE;Pista polideportiva#Sala polivalente;Calle Los Baños 35 ;Sestao;084;Bizkaia;48;34944960823
0016;CEIP BUENOS AIRES;Pista cubierta#Pista polideportiva#Frontón;Cotarro auzoa 11 ;Abanto y Ciérvana-Abanto Zierbena;002;Bizkaia;48;34946363076
0017;PR-GI 44 DEBA-LASTUR-ITZIAR-DEBA;Sendero;C/ MUTXIARTE S/N ;Deba;029;Gipuzkoa;20;34943192840
0018;PR-GI 3004 POR LOS CASERÍOS DE ARANTZAZU;Sendero;CTRA DE ARANTZAZU (GI-3591) S/N ;Oñati;059;Gipuzkoa;20;34943780411
0019;PISCINAS MUNICIPALES DE AÑANA;Piscina grande#Piscina pequeña#Tenis de mesa#Campo de futbol sala;C/ REAL S/N ;Añana;049;Araba/Álava;01;34945351067
0020;ESPACIO DE TENIS DE MESA DE YÉCORA;Tenis de mesa;C/ ESTIBALIZ S/N ;Yécora/Iekora;060;Araba/Álava;01;34945601923
0021;INSTALACIÓN DE URBANIZACIÓN SANSERREKA;Vaso recreativo;PASEO SANSERREKA 25-27-29-31-33-35 ;Donostia / San Sebastián;069;Gipuzkoa;20;34943481000
0022;BOLERA DE CASTILLO;Bolera;CASTILLO S/N ;Vitoria-Gasteiz;059;Araba/Álava;01;34945161616
0023;HOTEL ASTORIA 7;Sala musculación;C/ SAGRADA FAMILIA 1 ;Donostia / San Sebastián;069;Gipuzkoa;20;34943445000
0024;CENTRO DE YOGA MAITRI;Sala yoga grande#Sala yoga pequeña;AVDA. MADRID 7-TRASERA ;Donostia / San Sebastián;069;Gipuzkoa;20;
0025;PISTA DEPORTIVA GURUTZE;Pista fútbol-sala;C/ GURUTZEALDE S/N ;Donostia / San Sebastián;069;Gipuzkoa;20;34943481000
0026;ESPACIO DE BALONCESTO;Canasta;ARANGIZ S/N ;Vitoria-Gasteiz;059;Araba/Álava;01;34945161616
0027;BOLERA GOIZ EGUZKI;Bolera;C/ ATZIETA 16 ;Hernani;040;Gipuzkoa;20;34943337000
0028;POLIDEPORTIVO MUNICIPAL;Frontón#Pista de padel 2#Rocódromo#Pista polideportiva#Sala de musculación#Sala polivalente#Vaso deportivo#Vaso chapoteo#Frontón exterior 1#Frontón exterior 2#Pista de padel 1;Lehendakari Aguirre kalea 25 ;Lemoa;055;Bizkaia;48;34946313005
0029;POLIDEPORTIVO KANDELAZUBIEITA;Pista de minibasket pabellón#Pista de baloncesto pabellón#Pista polideportiva#Pista de minibasket#Pista de baloncesto;Avenida Iparraguirre Etorbidea S/N ;Leioa;054;Bizkaia;48;34944008000
0030;CLUB HÍPICO BEDIA;Picadero#Pista exterior;Barrio de Eroso S/N ;Bedia;092;Bizkaia;48;34946313250
0031;PISCINAS DE TABIRA;Pista polideportiva#Vaso irregular#Vaso chapoteo#Vaso deportivo;C/ Tabirabide 60 ;Durango;027;Bizkaia;48;34946215032
0032;HIPICA AGURAIN;Picadero;MAGDALENA S/N ;Agurain/Salvatierra;051;Araba/Álava;01;34664294209
0033;C.Pr. SAN VIATOR;Pista de fútbol 1#Pista de fútbol 2#Pista baloncesto 1#Pista baloncesto 2#Frontón 1#Frontón 2#Campo de futbol;Barrio del Castaño Viejo 2 ;Sopuerta;086;Bizkaia;48;34946104800
0034;SOPUERTA AVENTURA;Tiro con arco;Barrio San Cristobal s/n ;Sopuerta;086;Bizkaia;48;34946504052
0035;ÁREA DE MANTENIMIENTO;Area de mantenimiento;Barrio de El Mercadillo s/n ;Sopuerta;086;Bizkaia;48;34946504052
0036;FRONTÓN;Frontón;PLAZA NUEVA S/N ;Laguardia;031;Araba/Álava;01;34945600007
0037;PISCINAS MUNICIPALES;Vaso deportivo#Vaso chapoteo;Avenida Lehendakari Aguirre s/n ;Trucios-Turtzioz;087;Bizkaia;48;34946809040
0038;FRONTÓN MUNICIPAL SANTA-ANA;Frontón;Barrio de Santa-Ana s/n ;Sopuerta;086;Bizkaia;48;34946504052
0039;CAMPO DE FÚTBOL MUNICIPAL URITARRA;Campo de fútbol;Calle Errebale s/n ;Larrabetzu;052;Bizkaia;48;34944557132
0040;C.E.I.P. EGAPE;Frontón#Pista polideportiva cubierta#Pista de baloncesto#Tenis de mesa#Pista polideportiva descubierta;Lizardi kalea 5 ;Urnieta;072;Gipuzkoa;20;34943009275
0041;COMPLEJO DEPORTIVO IBERDROLA;Campo futbol#Frontón#Hockey sobre patines#Tenis;Urbanización Julio Artetxe 71 ;Sondika;904;Bizkaia;48;34944531578
0042;BOLERA DE VILLODAS;Bolera#Pista deportiva;C/ DE SAN CRISTOBAL S/N ;Iruña Oka/Iruña de Oca;901;Araba/Álava;01;34945371064
0043;FRONTÓN MUNICIPAL DE LEZAMA;Frontón;Aretzalde auzoa 6 ;Lezama;081;Bizkaia;48;34944555164
0044;PROBADERO MUNICIPAL;Carrejo;Eguskitza bidea 11 ;Berango;016;Bizkaia;48;34946680008
0045;C.Pr. VIRGEN NIÑA;Gimnasio#Cancha de baloncesto#Pista de fútbito;C/ DIONISIO ALDAMA 18 18 ;Amurrio;002;Araba/Álava;01;34945393544
0046;PISTAS DEPORTIVAS MUNICIPALES;Pista de fútbol sala#Pista de tenis;Unbe kalea S/N ;Derio;901;Bizkaia;48;34944541019
0047;CASA DEL DEPORTE;Sala de spining#Gimnasio;C/ DULANTZI S/N ;Alegría-Dulantzi;001;Araba/Álava;01;34945420831
0048;PISTA POLIDEPORTIVA ARBOL MALATO;Pista polideportiva;C/ DEL ARBOL MALATO S/N ;Laudio/Llodio;036;Araba/Álava;01;34944034800
0049;PARQUE PARA MAYORES UGARTE;Parque para mayores;C/ UGARTE S/N ;Laudio/Llodio;036;Araba/Álava;01;34944034800
0050;PARQUE PARA MAYORES ARETA;Parque para mayores;C/ARETA S/N ;Laudio/Llodio;036;Araba/Álava;01;34944034800
0051;PARQUE PARA MAYORES ALDAPA;Parque para mayores;AVDA. ZUMALACARREGUI 99 ;Laudio/Llodio;036;Araba/Álava;01;34944034800
0052;PARQUE DE SKATE;Pista de skate;C/ LAMUZA 18 ;Laudio/Llodio;036;Araba/Álava;01;34944034800
0053;INSTITUTO DE FORMACION PROFESIONAL;;C/ VIRGEN DEL CARMEN S/N ;Laudio/Llodio;036;Araba/Álava;01;34944034800
0054;PARQUE SALUDABLE;Parque saludable;C/ IBAI ONDO S/N ;Orio;061;Gipuzkoa;20;34943830346
0055;PUERTO DEPORTIVO DE ORIO;;CTRA DE LA PLAYA S/N ;Orio;061;Gipuzkoa;20;34943249400
0056;POLIDEPORTIVO GARDEA;Frontón#Pista polideportiva #Campo de hierba artificial#Bolera;C/ GARDEA  28 ;Laudio/Llodio;036;Araba/Álava;01;34944034800
0057;C.E.I.P. ZARAGUETA;Sala psicomotricidad#Pista fútbol#Pista baloncesto#Pista polideportiva con frontón;C/ ABAROMENDI 11 ;Orio;061;Gipuzkoa;20;34943894052
0058;SKATE PARK;Skate park;Bº Ongarai s/n ;Ermua;034;Bizkaia;48;34943179010
0059;FRONTÓN MUNICIPAL ARETA;Frontón#Cancha de calentamiento;C/ SANTA ANA 29 ;Laudio/Llodio;036;Araba/Álava;01;34944034800
0060;FRONTÓN LAMUZA;Frontón;C/ LAMUZA S/N ;Laudio/Llodio;036;Araba/Álava;01;34944034800
0061;INSTALACIONES URBANIZACIÓN SAN TELMO 1;Vaso recreativo#Vaso infantil#Pista padel;SAN TELMO AUZOA 8 ;Barrika;014;Bizkaia;48;34946771062
0062;PARQUE SANTA ANA;Pista fútbol sala#Parque  saludable;Parque Santa Ana s/n ;Ermua;034;Bizkaia;48;34943179010
0063;SKATE PARK;Skate park;C/ BASADI AUZATEGIA S/N ;Zumaia;081;Gipuzkoa;20;34943865025
0064;C.Pr. LA MILAGROSA;Pista deportiva futbito#Pista deportiva baloncesto#Gimnasio;C/ LEZIAGA 2 ;Laudio/Llodio;036;Araba/Álava;01;34946720701
0065;FRONTÓN  IZELAIETA;Frontón;C/ Izelaieta s/n ;Ermua;034;Bizkaia;48;34943030881
0066;POLIDEPORTIVO MUNICIPAL LUBAKI;Vaso deportivo#Vaso enseñanza#Pista tenis#Pista padel 1#Pista padel 2#Campo de fútbol#Pista polideportiva cubierta#Sala spinning#Sala tatami#Sala musculación#Sala polivalente pequeña - 1#Sala polivalente mediana - 2#Sala polivalente grande - 3#Rocódromo;C/ BASADI AUZATEGIA 15 ;Zumaia;081;Gipuzkoa;20;34943862021
0067;LOCAL DE SURF ZISKE;Sala polivalente;C/ LARRETXO 18 ;Zumaia;081;Gipuzkoa;20;34943865025
0068;PARQUE SALUDABLE;Parque saludable;UDALETXEKO BIDEA S/N ;Barrika;014;Bizkaia;48;34946771062
0069;C.Pr. MARIA Y JOSÉ;Pista polideportiva#Frontón#Gimnasio#Gimnasio grande;C/ AXULAR 6 ;Zumaia;081;Gipuzkoa;20;34943860462
0070;C.E.I.P. DE ZUMAIA AITA MARI;Pista polideportiva grande#Pista polideportiva pequeña#Sala psicomotricidad grande pb#Sala psicomotricidad p1;C/ AITA MARI AUZATEGIA 44 ;Zumaia;081;Gipuzkoa;20;34943861037
0071;FRONTÓN MUNICIPAL;Frontón;UDALETXEKO BIDEA 6 ;Barrika;014;Bizkaia;48;34946771062
0072;PISTA DE ATLETISMO;Pista de atletismo#Zona de salto de longitud 1#Zona de salto de longitud 2#Zona de salto con pértiga#Zona de lanzamiento de jabalina#Zona de lanzamiento de martillo#Zona de lanzamiento de peso#Zona de salto de altura;Bº Muruetatorre 10 ;Durango;027;Bizkaia;48;34946818116
0073;CEIP LATEORRO;Pista polideportiva baloncesto a#Pista polideportiva baloncesto b#Gimansio b#Pista deportiva fútbito a#Pista deportiva fútbito b#Sala#Gimansio a;C/ LATERORRO  8 ;Laudio/Llodio;036;Araba/Álava;01;34946721874
0074;CENTRO CULTURAL GARDEA;Pista polideportiva;C/ DE GARDEA S/N ;Laudio/Llodio;036;Araba/Álava;01;34944034800
0075;CLUB HÍPICO URDULIZ;Pista saltos#Pista doma;GOIETA KALEA S/N ;Urduliz;089;Bizkaia;48;34946764466
0076;FRONTÓN MUNICIPAL;Frontón;ELEIZALDE KALEA S/N ;Urduliz;089;Bizkaia;48;34946762061
0077;PISTA BALONCESTO MUNICIPAL;Pista baloncesto;LANDETA KALEA S/N ;Urduliz;089;Bizkaia;48;34946762061
0078;CARREJO ARRASTRE MUNICIPAL;Carrejo de arrastre;AITA GOTZON KALEA S/N ;Urduliz;089;Bizkaia;48;34946762061
0079;INSTALACIONES URBANIZACIÓN ITURRIETA;Vaso deportivo#Vaso infantil;MENDIETA KALEA S/N ;Sopela;085;Bizkaia;48;34944065505
0080;BOLERA DE LACERVILLA;Bolera;C/ DE LA PLAZA S/N ;Berantevilla;014;Araba/Álava;01;34945337059
0081;PARQUE SALUDABLE SAN LORENZO;Parque saludable;AVDA. Gipuzkoa s/n ;Ermua;034;Bizkaia;48;34943179010
0082;C.Pr. DE ORIO;Sala psicomotricidad pequeña - pb#Sala psicomotricidad grande - p1#Pista baloncesto#Frontón;C/ ABESLARI 8 ;Orio;061;Gipuzkoa;20;34943834704
0083;C.Pr. LAUDIO IKASTOLA;Pista polideportiva grande#Pista polideportiva pequeña#Pista polideportiva exterior;C/ MOTXOTEKALE  16 ;Laudio/Llodio;036;Araba/Álava;01;34946726737
0084;GIMNASIO KIDEN;Sala musculación#Sala pilates#Sala spining;AVDA. ZUMALACARREGI 41 ;Laudio/Llodio;036;Araba/Álava;01;34946728051
0085;CAMPO DE FUTBOL SAN MARTIN;Campo de fútbol;AVDA. DE VILLOSA S/N ;Laudio/Llodio;036;Araba/Álava;01;34944034800
0086;PUERTO DE ZUMAIA;;CTRA GI-634 S/N ;Zumaia;081;Gipuzkoa;20;34943860938
0087;C.E.I.P LAMUZA;Pista polideportiva baloncento#Pista polideportiva futbito#Gimnasio;C/ GRANJABIDE S/N ;Laudio/Llodio;036;Araba/Álava;01;34946720226
0088;BOLERAS LAMUZA;Bolera pasabolo#Bolera calva#Bolera tres tablones#Bolera alavesa;C/ LAMUZA S/N ;Laudio/Llodio;036;Araba/Álava;01;34944034800
0089;GIMNASIO ATSEDEN;;C/ San Juan 3 ;Amorebieta-Etxano;003;Bizkaia;48;34946734447
0090;INSTALACIONES CLUB ARRIETARA;Vaso deportivo#Vaso recreativo#Campo de fútbol#Pista de fútbol 5#Pista padel#Pista baloncesto#Pista tenis;SOLONDOTA KALEA S/N ;Sopela;085;Bizkaia;48;34944065505
0091;INSTALACIONES DEPORTIVAS HERRI-GAIN;Piscina#Pista deportiva;AVDA. DE SAN GINÉS (URBANIZACIÓN HERRI-GAIN) S/N ;Labastida/Bastida;028;Araba/Álava;01;34945331810
0092;INSTALACIONES DEPORTIVAS TORRE OCHANDI;Piscina grande#Piscina pequeña#Pista deportiva;C/ DEL CASTRIJO (URBANIZACIÓN TORRE OCHANDI) S/N ;Labastida/Bastida;028;Araba/Álava;01;34945331810
0093;CP BASTIDA;Aula psicomotricidad#Espacio exterior cubierto#Espacio exterior descubierto;C/ DIPUTACIÓN 25 ;Labastida/Bastida;028;Araba/Álava;01;34945331156
0094;PISTA POLIDEPORTIVA MUNTO;Pista polideportiva;C/ ERRIBERA S/N ;Orio;061;Gipuzkoa;20;34943830346
0095;ALBERGUE TXURRUKA;Pista polideportiva#Pista baloncesto#Pista voleibol#Tenis de mesa#Vaso recreativo#Frontón;PLAYA ORIBARZAR S/N ;Orio;061;Gipuzkoa;20;34943830887
0096;CARREJO ARRASTRE MUNICIPAL;Carrejo de arrastre;SAN TELMO AUZOA S/N ;Barrika;014;Bizkaia;48;34946771062
0097;PROBADERO Y BOLERA DE NARRONDO;Bolera#Probadero;Bº NARRONDO S/N ;Zumaia;081;Gipuzkoa;20;34943865025
0098;C.P. DE ZUMAIA SAGARBIDE;Pista polideportiva exterior#Frontón#Pista polideportiva cubierta - gimnasio#Pista fútbol exterior;C/ SAGARBIDE 1 ;Zumaia;081;Gipuzkoa;20;34943861693
0099;CAMPO DE FÚTBOL MUNICIPAL;Campo de fútbol;ANTZONEKOA KALEA S/N ;Urduliz;089;Bizkaia;48;34946762061
0100;PISTA POLIDEPORTIVA VISTA ALEGRE;Pista polideportiva;Bº VISTA ALEGRE S/N ;Zarautz;079;Gipuzkoa;20;34943005100
0101;CAMPO DE FÚTBOL MUNICIPAL;Campo de fútbol;AITA GOTZON KALEA S/N ;Urduliz;089;Bizkaia;48;34946762061
0102;CAMPO DE FÚTBOL TXOLÓN;Campo de fútbol;Bº Txolón s/n ;Amorebieta-Etxano;003;Bizkaia;48;34946732714
0103;ESPACIO DE TENIS DE MESA DE MOREDA;Tenis de mesa;C/ DE LOS JARDINES S/N ;Moreda de Álava/Moreda Araba;039;Araba/Álava;01;34945601893
0104;CAMINO DE SANTIAGO POR LA COSTA;Sendero;PLAZA DE LOS FUEROS S/N ;Deba;029;Gipuzkoa;20;34943192840
0105;FRONTÓN VILLA MANUELA;Frontón;C/ BIZKAIA S/N ;Zarautz;079;Gipuzkoa;20;34943005100
0106;PISTAS POLIDEPORTIVAS ITXASMENDI;Pista polideportiva#Pista de carreras#Pista de baloncesto#Pista de tenis 1#Pista de tenis 2;C/ INDAMENDI S/N ;Zarautz;079;Gipuzkoa;20;34943005100
0107;POLIDEPORTIVO MUNICIPAL IPARRALDE;Pista polideportiva con frontón#Carrejo de arrastre;AITA GOTZON KALEA 9 ;Urduliz;089;Bizkaia;48;34946763119
0108;PISTA BALONCESTO PLAZA DEL MERCADO;Pista de baloncesto;C/ Uribarri 4 ;Durango;027;Bizkaia;48;34946030013
0109;FRONTÓN ELEXALDE;Frontón;ELIZAKO PLAZA S/N ;Gorliz;043;Bizkaia;48;34946770193
0110;PISCINA LORE-TOKI;Piscina;CTRA. HARO A LABASTIDA (URBANIZACIÓN LORE-TOKI) S/N ;Labastida/Bastida;028;Araba/Álava;01;34945331810
0111;INSTALACIONES RESIDENCIALES URBANIZACIÓN ENRIKE RENTERIA;Vaso recreativo#Pista de pádel#Pista de tenis;Pº Enrike Renteria 4-9 ;Amorebieta-Etxano;003;Bizkaia;48;34946433643
0112;PISTA BALONCESTO MUNICIPAL;Pista baloncesto;ZIPIRIN KALEA S/N ;Sopela;085;Bizkaia;48;34944065505
0113;CLUB ATLÉTICO SAN SEBASTIÁN - LA CONCHA;Sala de musculación planta baja#Sala de musculación planta sótano#Sala polivalente#Mini frontón 1#Mini frontón 2;PASEO DE LA CONCHA S/N ;Donostia / San Sebastián;069;Gipuzkoa;20;34943473722
0114;FRONTÓN;Frontón;SANTUARIO DE ESTÍBALIZ S/N ;Vitoria-Gasteiz;059;Araba/Álava;01;34945161616
0115;BOLERA;Bolera;FORONDA S/N ;Vitoria-Gasteiz;059;Araba/Álava;01;34945161616
0116;INSTALACIONES DE URBANIZACIÓN ITXAS-BURU 50-58;Vaso recreativo#Frontón#Squash#Pista de tenis;PASEO DUQUE DE BAENA 50-58 ;Donostia / San Sebastián;069;Gipuzkoa;20;34943481000
0117;HIPICA GAVILAN;Picadero;SOLLUBE GANA S/N ;Bermeo;017;Bizkaia;48;34946883476
0118;RUTA BTT 13 IGOROIN;Ruta en bicicleta;C/LA ESTACIÓN S/N ;Arraia-Maeztu;037;Araba/Álava;01;34945405424
0119;PASEO ENTORNO A LA PIEDRA, EL AGUA Y LA SAL RECORRIDO 2;Sendero;C/ REAL S/N ;Añana;049;Araba/Álava;01;34945351067
0120;I.E.S. BENITO BARRUETA;Pista polideportiva;BIZKAIKO BURUA S/N ;Bermeo;017;Bizkaia;48;34946186740
0121;SL SENDA ANTOÑANA;Senda antoñana;ANTOÑANA S/N ;Campezo/Kanpezu;017;Araba/Álava;01;34945410502
0122;REFUGIO DE MAÑU;Pilotalekua-fronton;MAÑU AUZOA S/N ;Bermeo;017;Bizkaia;48;34902540999
0123;IES DOLORES IBARRURI;Pista polideportiva#Sala polivalente #Pista cubierta#Pista fútbol;El Minero etorbidea 28 ;Abanto y Ciérvana-Abanto Zierbena;002;Bizkaia;48;34946362725
0124;CEIP EL CASAL;Sala polivalente#Pista  baloncesto#Pista  futbol sala#Pista voleibol;Barrio El Casal 6 ;Abanto y Ciérvana-Abanto Zierbena;002;Bizkaia;48;34946362829
0125;COLEGIO MAYOR AYETE;Vaso deportivo#Frontón#Pista polideportiva;PASEO AIETE 25 ;Donostia / San Sebastián;069;Gipuzkoa;20;34943211000
0126;C.Pr. SUMMA-BELEN;Pista polideportiva#Pista baloncesto;C/ ALDAPETA 25 ;Donostia / San Sebastián;069;Gipuzkoa;20;34943467022
0127;PISTA POLIDEPORTIVA SORGIN-TXULO;Pista polideportiva;Bº SORGIN-TXULO S/N ;Hernani;040;Gipuzkoa;20;34943337000
0128;FRONTÓN MUNICIPAL;Frontón;Madalenako plaza S/N ;Güeñes;045;Bizkaia;48;34946690004
0129;CLUB DEPORTIVO ANAITASUNA KANKU;Tatami;Iriarte Margolaria 15 ;Azkoitia;017;Gipuzkoa;20;34943857170
0130;ÁREA DE MANTENIMIENTO LA MELLA;Área mantenimiento;La Mella S/N ;Zalla;096;Bizkaia;48;34946390001
0131;PISTAS DE PADEL Y TENIS;Pista de tenis#Pista de padel;Barrio de Santa-Ana S/N ;Sopuerta;086;Bizkaia;48;34946504052
0132;PARQUE PARA MAYORES ARABA;Parque de actividades;ARABA S/N ;Agurain/Salvatierra;051;Araba/Álava;01;34945312024
0133;FRONTÓN EGUILEOR;Frontón;ARRANBE 14  ;Agurain/Salvatierra;051;Araba/Álava;01;34945312024
0134;ROCÓDROMO MENDIKO ETXEA;Muro de escalada 1#Muro de escalada 2#Muro de escalada 3;Plaza Lehendakari Aguirre  s/n ;Balmaseda;090;Bizkaia;48;34946800646
0135;FRONTÓN;Frontón;Barrio de Alen s/n ;Sopuerta;086;Bizkaia;48;34946504052
0136;URBANIZACIÓN EL CASERIO;Piscina recreativa#Pista de tenis#Piscina chapoteo#Frontón#Gimnasio;Barrio Garaioltza S/N ;Lezama;081;Bizkaia;48;34944556007
0137;CAMPO DE FÚTBOL  ASTOLA;Campo de fútbol#Campo polideportivo;Bº Astola s/n ;Abadiño;001;Bizkaia;48;34946202169
0138;FRONTÓN MUNICIPAL;Pista polideportiva con frontón#Sala de spinning#Sala de aerobic#Gimnasio;Calle del Lehendakari Agirre S/N ;Larrabetzu;052;Bizkaia;48;34944558276
0139;C.E.I.P. LUCAS REY-MATÍAS LANDABURU;Campo de fútbito#Campo de baloncesto#Cancha de voley#Pabellón polideportivo;C/ LUCAS REY  15 ;Amurrio;002;Araba/Álava;01;34945890481
0140;POLIDEPORTIVO DENONTOKI;Pista deportiva;MARIETA-LARRINZAR S/N ;Arratzua-Ubarrundia;008;Araba/Álava;01;34945317006
0141;BOLERA DE NARVAJA;Bolera;C/ DEL HOSPITAL S/N ;San Millán/Donemiliaga;053;Araba/Álava;01;34945300472
0142;ESPACIO DE BALONCESTO DE ZALDUONDO;Canasta;CTRA  A-3012 S/N ;Zalduondo;061;Araba/Álava;01;34945314534
0143;PARQUE PARA MAYORES LAMUZA;Parque para mayores;C/ LAMUZA 13 ;Laudio/Llodio;036;Araba/Álava;01;34944034800
0144;PISTA POLIDEPORTIVA UGARTE II;Cancha de baloncesto;C/ UGARTE S/N ;Laudio/Llodio;036;Araba/Álava;01;34944034800
0145;PISTA POLIDEPORTIVA UGARTE;Pista polideportiva;C/ UGARTE S/N  ;Laudio/Llodio;036;Araba/Álava;01;34944034800
0146;REFUGIO KOBATA EL NIDO;;SIERRA SALVADA S/N ;Ayala/Aiara;010;Araba/Álava;01;34945399013
0147;PROBADERO DE EITZAGA;Probadero;Bº Eitzaga s/n ;Zaldibar;095;Bizkaia;48;34946827016
0148;POLIDEPORTIVO KARELA;Vaso deportivo#Vaso enseñanza#Pista polideportiva cubierta#Sala tatami#Sala musculación#Sala polivalente#Pista padel 1#Pista padel 2#Pista tenis#Squash#Rocódromo;C/ ERRIBERA 1 ;Orio;061;Gipuzkoa;20;34943894428
0149;FRONTÓN MUNICIPAL;Frontón;C/ EUSKO GUDARIAK 28 ;Orio;061;Gipuzkoa;20;34943830346
0150;ESCUELA DE GOLF CELLES;Campo de practicas;C/ LARRAURI 1 ;Derio;901;Bizkaia;48;34944541328
0151;PLAYA ANTILLA;Zona de baño;PLAYA ANTILLA S/N ;Orio;061;Gipuzkoa;20;34943830346
0152;C.Pr. DE ORIO - E.S.O.;Pista polideportiva#Recta atletismo;C/ ERRIBERA S/N ;Orio;061;Gipuzkoa;20;34943834704
0153;CENTRO DE REMO;Foso de remo#Gimnasio#Sala de test;AVDA. AITA LERTXUNDI S/N ;Orio;061;Gipuzkoa;20;34943830346
0154;GIMNASIO LAUDIO WELLNESS;Sala musculación#Sala de peso libre#Sala de spining#Sala de actividades;AVDA. ZUMALACARREGI 25 ;Laudio/Llodio;036;Araba/Álava;01;34946441111
0155;FRONTÓN GANBEGI;Frontón ;BARRIO GALMARKA S/N ;Laudio/Llodio;036;Araba/Álava;01;
0156;FRONTÓN MUNICIPAL CARDENAL ORBE;Frontón;PL. Cardenal Orbe s/n ;Ermua;034;Bizkaia;48;34943179090
0157;INSTALACIONES URBANIZACIÓN SAN TELMO 2;Vaso recreativo#Vaso infantil;SAN TELMO AUZOA 10 ;Barrika;014;Bizkaia;48;34946771062
0158;CLUB HÍPICO IROLAS;Pista de ensayo;ZALBIDEA AUZOA 6 ;Urduliz;089;Bizkaia;48;34607416888
0159;CEIP FABIÁN LEGORBURU;Pista polideportiva #Pista polideportiva baloncesto;C/ ARETA 45 ;Laudio/Llodio;036;Araba/Álava;01;34946722001
0160;PARKE IÑURRITZA;Frontón#Tenis de mesa;C/ GIPUZKOA S/N ;Zarautz;079;Gipuzkoa;20;34943005100
0161;BOLERA ARETA;Bolera;C/ARETA S/N ;Laudio/Llodio;036;Araba/Álava;01;34944034800
0162;PISTA POLIDEPORTIVA ARETA;Pista polideportiva;C/ DE LANDETA S/N ;Laudio/Llodio;036;Araba/Álava;01;34944034800
0163;FRONTÓN URTETA;Frontón;Bº URTETA S/N ;Zarautz;079;Gipuzkoa;20;34943005100
0164;FRONTÓN ELKANO;Frontón;Bº ELKANO S/N ;Zarautz;079;Gipuzkoa;20;34943005100
0165;FRONTÓN DE SALINILLAS DE BURADÓN;Frontón;PLAZA DE LA IGLESIA S/N ;Labastida/Bastida;028;Araba/Álava;01;34945331810
